,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
20041,20041,Criminal Minds,Released,They can't get any lower... but they'll die trying.,False,en,,English
20042,20042,Here on earth,Released,Here on earth,False,es,Arcano Films,Spanish
20043,20043,Consequence,Released,Consequence,F,en,ApolloProMovie & Co. 2. Filmproduktion,
20044,20044,Omar Khayyam,Released,Riding high with spectacular action and excitement !,F,en,Paramount,English
20045,20045,Me Tira da Mira,Released,Me Tira da Mira,False,pt,"Provesi Produções, Uno Produções",Portuguese
20046,20046,Introspectum Motel,Released,Introspectum Motel,F,en,,
20047,20047,Coppelia,Released,Coppelia,False,xx,"Submarine, 3 minutes West, MotionWorks, Lunanime",
20048,20048,Yamudiki Mogudu,Released,Yamudiki Mogudu,F,te,,Telugu
20049,20049,Kabadadaari,Released,Kabadadaari,False,ta,Creative Entertainers,Tamil
20050,20050,Baap Numbri Beta Dus Numbri,Released,Baap Numbri Beta Dus Numbri,False,hi,Magnum Films International,Hindi
20051,20051,The Nanny's Night,Released,It's going to be a hell of a night.,False,en,"Panic in Frames, Artistic Films","English, Spanish"
20052,20052,The Legend of Wolf Mountain,Released,"A mystical tale of courage, hope and the will to survive.",F,en,Majestic Entertainment,English
20053,20053,Star Trek: Horizon,Released,"Star Trek fan Film, 22nd Century, fan Film, psychotronic film",False,en,,
20054,20054,Mr. Airavata,Released,It's A Brand,F,kn,Sandesh Combines [IN],Kannada
20055,20055,The Changed,Released,"By this time tomorrow, there will be no one like you left, anywhere.",False,en,,English
20056,20056,To Catch A Thief,Released,To Catch A Thief,False,cn,Joe Siu International Film Ltd,Cantonese
20057,20057,Grizzly Mountain,Released,There is a place where dreams come true,False,en,"Parkinson-Konstant-Furla, Mega Communications, Napor Kids",English
20058,20058,Thimmarusu: Assignment Vali,Released,Thimmarusu: Assignment Vali,F,te,"East Coast Productions, S Originals",Telugu
20059,20059,Scorned 2,Released,They won't live to regret it.,False,en,,English
20060,20060,Dayavan,Released,Dayavan,False,hi,F.K. International,Hindi
20061,20061,The Marines Are Coming,Released,The Marines have landed...with a roll of drums...flags unfurled...ready to fight...ready for love!,False,en,Mascot Pictures,English
20062,20062,Ankahee,Released,Trapped by a brutal love.,F,hi,,Hindi
20063,20063,Miracle Valley,Released,Miracle Valley,F,en,Sestero Pictures,English
20064,20064,Another Girl,Released,Her best friend was a perfect stranger.,F,en,Kandoo Films,English
20065,20065,Do Not Hesitate,Released,Do Not Hesitate,F,nl,"Lemming Film, Nederlands Filmfonds","Arabic, Dutch"
20066,20066,Fugitivos: Pueblo de proscritos,Released,Fugitivos: Pueblo de proscritos,F,es,,
20067,20067,Deadly Cheers,Released,Deadly Cheers,False,en,"Shadowboxer Films, Johnson Production Group",French
20068,20068,5150,Released,Secrets can kill,F,en,The Journey Film Group,English
20069,20069,Capitán Carver,Released,Capitán Carver,False,es,Domingo Films,Spanish
20070,20070,Divya Shakti,Released,Divya Shakti,F,hi,,Bislama
20071,20071,Eeswaran,Released,Eeswaran,F,ta,"Madhav Media Entertainments, D Company",Tamil
20072,20072,Limehouse Blues,Released,DANGER and ROMANCE - hand in hand!,False,en,Paramount,English
20073,20073,Wired to Kill,Released,Wired to Kill,F,en,,English
20074,20074,Saravanan Irukka Bayamaen,Released,Saravanan Irukka Bayamaen,F,ta,Red Giant Movies,Tamil
20075,20075,Riptide,Released,"""When a Woman Loves!""",F,en,Metro-Goldwyn-Mayer,English
20076,20076,Faking a Murderer,Released,An unreal true crime story.,F,en,"AstroLab Studios Inc., 5’7 Films, Breakthrough Entertainment",English
20077,20077,Mahaveeryar,Released,Mahaveeryar,False,ml,"Pauly Jr. Pictures, Indian Movie Makers",Malayalam
20078,20078,I Love Us,Released,Life of crime vs. life of love.,False,en,,English
20079,20079,Hands Up,Released,There's always another way out.,False,en,Mastermind Entertainment,English
20080,20080,Boned,Released,Boned,False,en,"Badlands Features, Uncle John Productions, Creative Searchlight",English
20081,20081,Metal Skin,Released,Speeding Cars... Crazy Women... Devil worship... The world is out of control!,F,en,Daniel Scharf Productions,English
20082,20082,Dance with Death,Released,Dance with Death,False,en,Concorde Pictures,English
20083,20083,Dead On,Released,Dead On,F,en,Stu Segall Productions,"English, Russian"
20084,20084,The Learning Curve,Released,Sometimes All The Way...Is Way Too Far.,F,en,,English
20085,20085,Virgin Hunters 3: Agents of Passion,Released,Pleasure comes in 3's...,False,en,Surrender Cinema,English
20086,20086,Favorite Son,Released,There's no place like home.,False,en,,English
20087,20087,Kaapa,Released,LAW…NOT JUSTICE...,False,ml,Theatre of Dreams,Malayalam
20088,20088,Drums of Fu Manchu,Released,"CRUEL, INSIDIOUS IN HIS MAD SCHEME TO CONQUER ASIA!",F,en,,English
20089,20089,Raajakumara,Released,"A dutiful son, a prince in his fathers' eyes, retains his purity of character despite the many challenges thrown his way.",F,kn,Hombale Films,Kannada
20090,20090,Pakka Commercial,Released,Pakka Commercial,F,te,"GA2 Pictures, UV Creations",Telugu
20091,20091,I Am Hooligan,Released,I Am Hooligan,F,en,Greenway Entertainment,English
20092,20092,Bhamakalapam,Released,A Delicious Home Cooked Thriller,F,te,Sri Venkateswara Cine Chitra,Telugu
20093,20093,Civil War,Released,Civil War,False,pt,Blackmaria,Portuguese
20094,20094,After the Pandemic,Released,Hunt or be hunted.,False,en,Andromeda Motion Pictures,English
20095,20095,Sign of the Pagan,Released,The Story of Attila the Hun!,False,en,"Universal International Pictures, Universal Pictures",English
