,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
0,0,Inception,Released,Your mind is the scene of the crime.,F,en,"Legendary Pictures, Syncopy, Warner Bros. Pictures","English, French, Japanese, Swahili"
1,1,Interstellar,Released,Mankind was born on Earth. It was never meant to die here.,False,en,"Legendary Pictures, Syncopy, Lynda Obst Productions",English
2,2,The Dark Knight,Released,Welcome to a world without rules.,F,en,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","English, Mandarin"
3,3,Avatar,Released,Enter the world of Pandora.,F,en,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","English, Spanish"
4,4,The Avengers,Released,Some assembly required.,F,en,Marvel Studios,"English, Hindi, Russian"
5,5,Deadpool,Released,Witness the beginning of a happy ending.,False,en,"20th Century Fox, The Donners' Company, Genre Films",English
6,6,Avengers: Infinity War,Released,An entire universe. Once and for all.,False,en,Marvel Studios,"English, Xhosa"
7,7,Fight Club,Released,Mischief. Mayhem. Soap.,F,en,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",English
8,8,Guardians of the Galaxy,Released,All heroes start somewhere.,F,en,Marvel Studios,English
9,9,Pulp Fiction,Released,Just because you are a character doesn't mean you have character.,False,en,"Miramax, A Band Apart, Jersey Films","English, Spanish, French"
10,10,Forrest Gump,Released,The world will never be the same once you've seen it through the eyes of Forrest Gump.,False,en,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",English
11,11,Iron Man,Released,Heroes aren't born. They're built.,F,en,Marvel Studios,"English, Persian, Urdu, Arabic"
12,12,Django Unchained,Released,"Life, liberty and the pursuit of vengeance.",False,en,"The Weinstein Company, Columbia Pictures","English, French, German"
13,13,The Shawshank Redemption,Released,Fear can hold you prisoner. Hope can set you free.,F,en,Castle Rock Entertainment,English
14,14,Avengers: Endgame,Released,Avenge the fallen.,F,en,Marvel Studios,"English, Japanese, Xhosa"
15,15,The Matrix,Released,Welcome to the Real World.,False,en,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",English
16,16,Titanic,Released,Nothing on Earth could come between them.,F,en,"Paramount, 20th Century Fox, Lightstorm Entertainment","English, French, German, Swedish, Italian, Russian"
17,17,Joker,Released,Put on a happy face.,False,en,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",English
18,18,The Lord of the Rings: The Fellowship of the Ring,Released,One ring to rule them all,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
19,19,The Lord of the Rings: The Return of the King,Released,The eye of the enemy is moving.,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
20,20,Shutter Island,Released,Some places never let you go.,F,en,"Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International","English, German"
21,21,The Wolf of Wall Street,Released,Earn. Spend. Party.,F,en,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions","English, French"
22,22,Avengers: Age of Ultron,Released,A new age has come.,F,en,Marvel Studios,English
23,23,Captain America: Civil War,Released,United we stand. Divided we fall.,False,en,Marvel Studios,"Romanian, English, German, Russian"
24,24,The Dark Knight Rises,Released,The Legend Ends,F,en,"Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",English
25,25,Black Panther,Released,Long live the king.,F,en,Marvel Studios,"English, Korean, Swahili, Xhosa"
26,26,Doctor Strange,Released,The impossibilities are endless.,F,en,Marvel Studios,English
27,27,Mad Max: Fury Road,Released,What a Lovely Day.,False,en,"Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures",English
28,28,Inglourious Basterds,Released,Once upon a time in Nazi occupied France...,F,en,"The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films","German, English, French, Italian"
29,29,The Hunger Games,Released,May The Odds Be Ever In Your Favor.,False,en,"Lionsgate, Color Force",English
30,30,Spider-Man: Homecoming,Released,Homework can wait. The city can't.,F,en,"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",English
31,31,Harry Potter and the Chamber of Secrets,Released,Hogwarts is back in session.,False,en,"Warner Bros. Pictures, Heyday Films, 1492 Pictures",English
32,32,Guardians of the Galaxy Vol. 2,Released,Obviously.,F,en,Marvel Studios,English
33,33,The Lord of the Rings: The Two Towers,Released,A New Power Is Rising.,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
34,34,Captain America: The First Avenger,Released,When patriots become heroes,False,en,Marvel Studios,"French, Norwegian, English"
35,35,Suicide Squad,Released,Worst. Heroes. Ever.,False,en,"DC Entertainment, Dune Entertainment, Warner Bros. Pictures, Atlas Entertainment, DC Comics, DC Films, Lin Pictures","English, Japanese, Spanish"
36,36,Harry Potter and the Prisoner of Azkaban,Released,Something wicked this way comes.,False,en,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited",English
37,37,Thor,Released,Two worlds. One hero.,False,en,Marvel Studios,English
38,38,Iron Man 2,Released,"It's not the armor that makes the hero, but the man inside.",F,en,"Marvel Studios, Fairview Entertainment","English, Russian, French"
39,39,Batman Begins,Released,Evil fears the knight.,F,en,"Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited","English, Urdu, Mandarin"
40,40,Thor: Ragnarok,Released,No hammer. No problem.,False,en,Marvel Studios,English
41,41,Inside Out,Released,Meet the little voices inside your head.,F,en,"Pixar, Walt Disney Pictures",English
42,42,Jurassic World,Released,The park is open.,F,en,"Amblin Entertainment, Universal Pictures",English
43,43,Se7en,Released,Seven deadly sins. Seven ways to die.,F,en,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",English
44,44,Harry Potter and the Goblet of Fire,Released,Dark And Difficult Times Lie Ahead.,F,en,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions Limited","English, French"
45,45,Pirates of the Caribbean: The Curse of the Black Pearl,Released,Prepare to be blown out of the water.,F,en,"Walt Disney Pictures, Jerry Bruckheimer Films",English
46,46,Harry Potter and the Deathly Hallows: Part 2,Released,It all ends here.,F,en,"Warner Bros. Pictures, Heyday Films",English
47,47,Star Wars,Released,"A long time ago in a galaxy far, far away...",False,en,"Lucasfilm Ltd., 20th Century Fox",English
48,48,Wonder Woman,Released,Power. Grace. Wisdom. Wonder.,False,en,"Atlas Entertainment, Cruel & Unusual Films, DC Films","German, English"
49,49,Up,Released,The greatest adventure is just getting back home.,False,en,Pixar,English
50,50,Ant-Man,Released,Heroes don't get any bigger.,F,en,Marvel Studios,English
51,51,The Godfather,Released,An offer you can't refuse.,False,en,"Paramount, Alfran Productions","English, Italian, Latin"
52,52,The Martian,Released,Bring Him Home,F,en,"Scott Free Productions, Genre Films","English, Mandarin"
53,53,Back to the Future,Released,He's the only kid ever to get into trouble before he was born.,False,en,"Universal Pictures, Amblin Entertainment",English
54,54,Spider-Man: No Way Home,Released,The Multiverse unleashed.,F,en,"Marvel Studios, Pascal Pictures, Columbia Pictures","English, Tagalog"
55,55,Harry Potter and the Order of the Phoenix,Released,Evil Must Be Confronted.,False,en,"Warner Bros. Pictures, Heyday Films",English
56,56,Harry Potter and the Half-Blood Prince,Released,Dark Secrets Revealed,False,en,"Warner Bros. Pictures, Heyday Films",English
57,57,Logan,Released,His time has come.,False,en,"Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox","English, Spanish"
58,58,Finding Nemo,Released,There are 3.7 trillion fish in the ocean. They're looking for one.,F,en,Pixar,English
59,59,It,Released,You’ll float too,False,en,"New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions",English
60,60,John Wick,Released,Don't set him off.,False,en,"87Eleven, DefyNite Films, MJW Films, Thunder Road","Hungarian, English, Russian"
61,61,Fantastic Beasts and Where to Find Them,Released,From J.K. Rowling's wizarding world.,False,en,"Heyday Films, Warner Bros. Pictures",English
62,62,Harry Potter and the Deathly Hallows: Part 1,Released,One Way… One Fate… One Hero.,False,en,"Warner Bros. Pictures, Heyday Films",English
63,63,Coco,Released,The celebration of a lifetime,F,en,"Pixar, Walt Disney Pictures","English, Spanish"
64,64,Captain America: The Winter Soldier,Released,In heroes we trust.,False,en,Marvel Studios,English
65,65,Spider-Man,Released,With great power comes great responsibility.,F,en,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",English
66,66,WALL·E,Released,"After 700 years of doing what he was built for, he'll discover what he was meant for.",F,en,"Pixar, Walt Disney Pictures",English
67,67,Gone Girl,Released,You don't know what you've got 'til it's...,F,en,"Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox",English
68,68,The Hobbit: An Unexpected Journey,Released,From the smallest beginnings come the greatest legends.,False,en,"Warner Bros. Pictures, Metro-Goldwyn-Mayer, New Line Cinema, WingNut Films",English
69,69,"Monsters, Inc.",Released,We Scare Because We Care.,F,en,Pixar,English
70,70,Toy Story,Released,Hang on for the comedy that goes to infinity and beyond!,False,en,Pixar,English
71,71,The Revenant,Released,"(n. One who has returned, as if from the dead.)",F,en,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment","English, French"
72,72,Batman v Superman: Dawn of Justice,Released,Who will win?,F,en,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC Entertainment, Syncopy",English
73,73,The Lion King,Released,Life's greatest adventure is finding your place in the Circle of Life.,F,en,"Walt Disney Pictures, Walt Disney Feature Animation",English
74,74,Gladiator,Released,A hero will rise.,False,en,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures",English
75,75,The Truman Show,Released,On the air. Unaware.,False,en,"Paramount, Scott Rudin Productions",English
76,76,The Incredibles,Released,"No gut, no glory",F,en,"Pixar, Walt Disney Pictures","French, English"
77,77,Arrival,Released,Why are they here?,False,en,"FilmNation Entertainment, Lava Bear Films, Reliance Entertainment, Xenolinguistics, 21 Laps Entertainment, Paramount, Stage 6 Films","Mandarin, English, Russian"
78,78,Parasite,Released,Act like you own the place.,F,ko,Barunson E&A,"English, German, Korean"
79,79,Thor: The Dark World,Released,Delve into the darkness,False,en,Marvel Studios,English
80,80,The Amazing Spider-Man,Released,The untold story begins.,False,en,"Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions",English
81,81,Split,Released,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,False,en,"Universal Pictures, Blinding Edge Pictures, Blumhouse Productions",English
82,82,Deadpool 2,Released,Prepare for the Second Coming.,F,en,"Maximum Effort, Genre Films, 20th Century Fox","Cantonese, English, Russian, Spanish"
83,83,The Shining,Released,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time",F,en,"Hawk Films, Peregrine, Producers Circle, Warner Bros. Pictures",English
84,84,Kill Bill: Vol. 1,Released,A roaring rampage of revenge.,F,en,"Miramax, A Band Apart, Super Cool ManChu","English, Japanese, French"
85,85,The Hunger Games: Catching Fire,Released,Every revolution begins with a spark.,False,en,"Lionsgate, Color Force",English
86,86,The Intouchables,Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,F,fr,"Gaumont, CinéCinéma, Quad Productions, Chaocorp, Ten Films, TF1, Canal+, TF1 Films Production","English, French"
87,87,Get Out,Released,"Just because you're invited, doesn't mean you're welcome.",False,en,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment",English
88,88,The Imitation Game,Released,The true enigma was the man who cracked the code.,F,en,"Bristol Automotive, Black Bear Pictures, The Weinstein Company, FilmNation Entertainment",English
89,89,Bohemian Rhapsody,Released,Fearless lives forever,F,en,"GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox",English
90,90,The Green Mile,Released,Miracles do happen.,False,en,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures, PolyGram Filmed Entertainment","French, English"
91,91,The Maze Runner,Released,Remember. Survive. Run.,False,en,"Ingenious Media, Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",English
92,92,The Hangover,Released,Some guys just can't handle Vegas.,F,en,"Legendary Pictures, Green Hat Films, Warner Bros. Pictures",English
93,93,Shrek,Released,The greatest fairy tale never told.,F,en,"DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",English
94,94,Ratatouille,Released,He's dying to become a chef.,F,en,"Pixar, Walt Disney Pictures","English, French"
95,95,Kingsman: The Secret Service,Released,Manners maketh man.,F,en,"20th Century Fox, Marv Films, Cloudy Productions, TSG Entertainment","Arabic, English"
96,96,La La Land,Released,Here's to the fools who dream.,F,en,"Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",English
97,97,Frozen,Released,Only the act of true love will thaw a frozen heart.,F,en,"Walt Disney Pictures, Walt Disney Animation Studios",English
98,98,Dunkirk,Released,"When 400,000 men couldn't get home, home came for them.",False,en,"Warner Bros. Pictures, Syncopy, RatPac Entertainment","English, French, German"
99,99,Zootopia,Released,Welcome to the urban jungle.,F,en,"Walt Disney Animation Studios, Walt Disney Pictures",English
100,100,Lucy,Released,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,False,en,"EuropaCorp, Canal+, Ciné+, TF1 Films Production","Mandarin, English, French, Spanish, Korean"
101,101,Jurassic Park,Released,An adventure 65 million years in the making.,F,en,"Universal Pictures, Amblin Entertainment","English, Spanish"
102,102,The Silence of the Lambs,Released,To enter the mind of a killer she must challenge the mind of a madman.,F,en,"Orion Pictures, Strong Heart/Demme Production",English
103,103,Beauty and the Beast,Released,Be our guest.,False,en,"Walt Disney Pictures, Mandeville Films","English, French"
104,104,Pirates of the Caribbean: Dead Man's Chest,Released,Captain Jack is back!,False,en,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","English, Turkish, Greek, Mandarin"
105,105,Big Hero 6,Released,Big Hero 6,False,en,"Walt Disney Pictures, Walt Disney Animation Studios",English
106,106,Now You See Me,Released,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,F,en,"Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana","French, English"
107,107,The Hunger Games: Mockingjay - Part 1,Released,Fire burns brighter in the darkness,F,en,"Lionsgate, Color Force",English
108,108,Venom,Released,The world has enough Superheroes.,False,en,"Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions","Mandarin, English, Malay"
109,109,The Prestige,Released,Are You Watching Closely?,F,en,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy",English
110,110,I Am Legend,Released,The last man on Earth is not alone,False,en,"Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",English
111,111,Saving Private Ryan,Released,The mission is a man.,False,en,"Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company","Czech, German, English, French"
112,112,Captain Marvel,Released,Higher. Further. Faster.,F,en,Marvel Studios,English
113,113,Baby Driver,Released,All you need is one killer track.,False,en,"Big Talk Productions, Working Title Films",English
114,114,Schindler's List,Released,"Whoever saves one life, saves the world entire.",F,en,Amblin Entertainment,"German, Polish, Hebrew, English"
115,115,Spider-Man: Far From Home,Released,It’s time to step up.,F,en,"Marvel Studios, Pascal Pictures, Columbia Pictures","Czech, Dutch, English, German, Italian"
116,116,Skyfall,Released,Think on your sins.,False,en,"Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures",English
117,117,Gravity,Released,Don't Let Go,False,en,"Esperanto Filmoj, Warner Bros. Pictures, Heyday Films",English
118,118,X-Men: Days of Future Past,Released,"To save the future, they must alter the past.",False,en,"Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox","English, French, Russian, Vietnamese"
119,119,Ready Player One,Released,A better reality awaits.,F,en,"Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment",English
120,120,World War Z,Released,Remember Philly!,False,en,"GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment",English
121,121,Catch Me If You Can,Released,The true story of a real fake.,F,en,"Parkes/MacDonald Productions, Kemp Company, Splendid Pictures","English, French"
122,122,Man of Steel,Released,You will believe that a man can fly.,False,en,"DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures",English
123,123,Despicable Me,Released,Superbad. Superdad.,F,en,"Illumination, Universal Pictures",English
124,124,Spider-Man 2,Released,There's a hero in all of us.,F,en,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures","English, Russian, Mandarin"
125,125,Spider-Man: Into the Spider-Verse,Released,More than one wears the mask.,F,en,"Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions","English, Japanese, Spanish"
126,126,Charlie and the Chocolate Factory,Released,Prepare for a taste of adventure.,False,en,"The Zanuck Company, Theobald Film Productions, Plan B Entertainment",English
127,127,Whiplash,Released,The road to greatness can take you to the edge.,F,en,"Bold Films, Blumhouse Productions, Right of Way Films, Sierra/Affinity, Stage 6 Films, Sony Pictures Classics",English
128,128,The Departed,Released,Lies. Betrayal. Sacrifice. How far will you take it?,False,en,"Vertigo Entertainment, Media Asia Films, Initial Entertainment Group, Warner Bros. Pictures, Plan B Entertainment","English, Cantonese"
129,129,The Grand Budapest Hotel,Released,A murder case of Madam D. With enormous wealth and the most outrageous events surrounding her sudden death!,False,en,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures","English, French"
130,130,Toy Story 3,Released,No toy gets left behind.,False,en,"Pixar, Walt Disney Pictures","English, Spanish"
131,131,Memento,Released,Some memories are best forgotten.,F,en,"Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions",English
132,132,Eternal Sunshine of the Spotless Mind,Released,You can erase someone from your mind. Getting them out of your heart is another story.,False,en,"Focus Features, Anonymous Content, This Is That Productions",English
133,133,Black Swan,Released,Black Swan,False,en,"Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures","English, French, Italian"
134,134,V for Vendetta,Released,People should not be afraid of their governments. Governments should be afraid of their people.,F,en,"Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg",English
135,135,Star Wars: Episode I - The Phantom Menace,Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,False,en,Lucasfilm Ltd.,English
136,136,Her,Released,A Spike Jonze love story.,F,en,"Annapurna Pictures, Warner Bros. Pictures, Stage 6 Films",English
137,137,Pirates of the Caribbean: At World's End,Released,"At the end of the world, the adventure begins.",False,en,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",English
138,138,The Hobbit: The Battle of the Five Armies,Released,Witness the defining chapter of the Middle-Earth saga,False,en,"Warner Bros. Pictures, WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer",English
139,139,Reservoir Dogs,Released,Every dog has his day.,False,en,"Live Entertainment, Dog Eat Dog Productions",English
140,140,The Hateful Eight,Released,No one comes up here without a damn good reason.,False,en,"The Weinstein Company, Double Feature Films, FilmColony","Spanish, English"
141,141,Alien,Released,In space no one can hear you scream.,F,en,"Brandywine Productions, 20th Century Fox","English, Spanish"
142,142,Sherlock Holmes,Released,Nothing escapes him.,False,en,"Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte","English, French"
143,143,Alice in Wonderland,Released,You're invited to a very important date.,False,en,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",English
144,144,Pirates of the Caribbean: On Stranger Tides,Released,Live Forever Or Die Trying.,F,en,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company","English, Spanish"
145,145,Spider-Man 3,Released,The battle within.,F,en,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures","English, French"
146,146,A Quiet Place,Released,"If they hear you, they hunt you.",F,en,"Paramount, Platinum Dunes",English
147,147,Aquaman,Released,Home Is Calling,False,en,"Warner Bros. Pictures, The Safran Company, DC Films",English
148,148,Kill Bill: Vol. 2,Released,The bride is back for the final cut.,F,en,"Super Cool ManChu, Miramax, A Band Apart","English, Mandarin, Spanish, Cantonese"
149,149,Cars,Released,Ahhh... it's got that new movie smell.,False,en,"Pixar, Walt Disney Pictures","English, Italian, Japanese, Yiddish"
150,150,Toy Story 2,Released,The toys are back!,F,en,Pixar,English
151,151,Men in Black,Released,Protecting the Earth from the scum of the universe.,False,en,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation","English, Spanish"
152,152,Edge of Tomorrow,Released,Live. Die. Repeat.,F,en,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",English
153,153,300,Released,"Spartans, prepare for glory!",False,en,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",English
154,154,Jumanji: Welcome to the Jungle,Released,The game has evolved.,F,en,"Radar Pictures, Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",English
155,155,Blade Runner,Released,Man has made his match... now it's his problem.,False,en,"Shaw Brothers, The Ladd Company, Warner Bros. Pictures","English, German, Cantonese, Japanese, Hungarian"
156,156,Star Wars: Episode III - Revenge of the Sith,Released,The saga is complete.,F,en,Lucasfilm Ltd.,English
157,157,Hacksaw Ridge,Released,One of the greatest heroes in American history never fired a bullet.,False,en,"Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film","Japanese, English"
158,158,Twilight,Released,"When you can live forever, what do you live for?",False,en,"Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Twilight Productions",English
159,159,Brave,Released,Change your fate.,F,en,"Walt Disney Pictures, Pixar",English
160,160,Ant-Man and the Wasp,Released,Real heroes. Not actual size.,F,en,Marvel Studios,English
161,161,Maleficent,Released,Don't believe the fairy tale.,False,en,"Walt Disney Pictures, Roth Films",English
162,162,Passengers,Released,There is a reason they woke up.,F,en,"Wanda Pictures, Columbia Pictures, Village Roadshow Pictures, Original Film, Company Films, Start Motion Pictures, LStar Capital",English
163,163,Life of Pi,Released,Believe The Unbelievable,F,en,"Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One Productions","English, French, Hindi, Japanese, Tamil"
164,164,Ex Machina,Released,There is nothing more human than the will to survive,F,en,"DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions",English
165,165,The Amazing Spider-Man 2,Released,No more secrets.,F,en,"Marvel Entertainment, Columbia Pictures, Matt Tolmach Productions, Arad Productions",English
166,166,Blade Runner 2049,Released,The key to the future is finally unearthed.,False,en,"Torridon Films, 16:14 Entertainment, Scott Free Productions, Columbia Pictures, Alcon Entertainment, Thunderbird Entertainment, Warner Bros. Pictures","English, Finnish, Hungarian, Japanese, Russian, Somali, Spanish"
167,167,Ice Age,Released,They came. They thawed. They conquered.,False,en,"20th Century Fox Animation, 20th Century Fox, Blue Sky Studios",English
168,168,Star Wars: Episode II - Attack of the Clones,Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,False,en,Lucasfilm Ltd.,English
169,169,Justice League,Released,You can't save the world alone,F,en,"RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",English
170,170,The Hobbit: The Desolation of Smaug,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,F,en,"Warner Bros. Pictures, WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer",English
171,171,X-Men: Apocalypse,Released,Only the strong will survive.,False,en,"The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox","Arabic, English, German, Polish, Russian, Swahili"
172,172,Birdman or (The Unexpected Virtue of Ignorance),Released,Birdman or (The Unexpected Virtue of Ignorance),F,en,"TSG Entertainment, Worldview Entertainment, New Regency Pictures, M Productions, Le Grisbi Productions",English
173,173,Divergent,Released,What makes you different makes you dangerous.,F,en,"Summit Entertainment, Red Wagon Entertainment",English
174,174,American Sniper,Released,The most lethal sniper in U.S. history.,F,en,"RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance",English
175,175,How to Train Your Dragon,Released,One adventure will change two worlds,F,en,"DreamWorks Animation, Paramount",English
176,176,Incredibles 2,Released,It's time to get back to being incredible.,F,en,"Walt Disney Pictures, Pixar",English
177,177,Edward Scissorhands,Released,His scars run deep.,F,en,20th Century Fox,English
178,178,John Wick: Chapter 2,Released,Never stab the devil in the back.,F,en,"Thunder Road, 87Eleven, Summit Entertainment","English, Hebrew, Italian, Russian"
179,179,A Clockwork Orange,Released,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",F,en,"Warner Bros. Pictures, Hawk Films",English
180,180,The Curious Case of Benjamin Button,Released,"Life isn't measured in minutes, but in moments.",False,en,"Paramount, Warner Bros. Pictures, The Kennedy/Marshall Company",English
181,181,The Terminator,Released,Your future is in its hands.,False,en,"Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding","English, Spanish"
182,182,Back to the Future Part II,Released,"Roads? Where we're going, we don't need roads!",False,en,"Universal Pictures, Amblin Entertainment",English
183,183,Terminator 2: Judgment Day,Released,It's nothing personal.,F,en,"Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+","English, Spanish"
184,184,GoodFellas,Released,Three decades of life in the mafia.,F,en,Winkler Films,"Italian, English"
185,185,Drive,Released,There are no clean getaways.,F,en,"FilmDistrict, Bold Films, Marc Platt Productions, OddLot Entertainment, Motel Movies, Newbridge Film Capital",English
186,186,Pacific Rim,Released,Go Big or Go Extinct.,F,en,"Double Dare You Productions, Legendary Pictures","Cantonese, English, Japanese, Russian"
187,187,The Hunger Games: Mockingjay - Part 2,Released,The fire will burn forever.,F,en,"Lionsgate, Color Force, Studio Babelsberg",English
188,188,Wreck-It Ralph,Released,The story of a regular guy just looking for a little wreck-ognition.,F,en,"Walt Disney Animation Studios, Walt Disney Pictures",English
189,189,Donnie Darko,Released,"28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.",F,en,"Flower Films, Gaylord Films, Adam Fields Productions, Pandora Cinema",English
190,190,Ted,Released,Ted is coming.,False,en,"Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment",English
191,191,The Great Gatsby,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,False,en,"Spectrum Films, Village Roadshow Pictures, Bazmark Films, Red Wagon Entertainment, Warner Bros. Pictures, A+E Studios",English
192,192,Moana,Released,The ocean is calling.,False,en,"Walt Disney Pictures, Walt Disney Animation Studios, Hurwitz Creative",English
193,193,The Shape of Water,Released,A Fairy Tale for Troubled Times,False,en,"Double Dare You Productions, Fox Searchlight Pictures, Bull Productions, TSG Entertainment","English, Russian"
194,194,Zombieland,Released,Nut up or shut up.,F,en,"Pariah, Columbia Pictures, Relativity Media",English
195,195,Finding Dory,Released,An unforgettable journey she probably won't remember.,F,en,"Pixar, Walt Disney Pictures",English
