,Name,ID,Gender,Age,Genres,Popularity,Followers
48,Major Lazer,738wLrAtLtCtFOLvQBXOXp,mixed,12,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",74,6347918
49,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,mixed,23,"['permanent wave', 'pop']",86,48792512
50,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,male,34,"['dance pop', 'pop']",86,52946753
51,Migos,6oMuImdp5ZcFhWP0ESe6mG,mixed,12,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",75,13704065
52,Avicii,1vCWHaC5f2uS3yhpwWbIA6,male,28,"['dance pop', 'edm', 'pop', 'pop dance']",78,23305127
53,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,male,25,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",78,22817340
54,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,male,0,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",80,13433733
55,Taylor Swift,06HL4z0CvFAxyc27GXpf02,female,30,['pop'],100,95859165
56,KAROL G,790FomKkXshlbRYZFtlgla,female,29,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,42614177
57,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,male,40,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",77,6966304
58,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,,0,['pop'],77,11538588
59,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,male,42,"['latin pop', 'puerto rican pop']",71,11163849
60,DaBaby,4r63FhuTkUYltbVAg5TQnk,male,28,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",77,11474237
61,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,male,43,"['chicago rap', 'hip hop', 'rap']",90,22582692
62,Lil Baby,5f7VJjfbwm532GiveGC0ZK,male,25,"['atl hip hop', 'atl trap', 'rap', 'trap']",85,16126374
63,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,female,22,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",75,10492535
64,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,male,28,"['pop', 'viral pop']",79,22013348
65,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,male,35,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85,22235668
66,ZEDDY WILL,1alf4P7GDe5aNpALBzWIGf,male,30,[],41,16145
67,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,male,30,"['dance pop', 'pop']",76,12044521
68,Clean Bandit,6MDME20pz9RveH9rEXvrOM,mixed,12,"['pop', 'uk dance', 'uk funky']",71,5387305
69,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,male,33,"['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']",75,2458569
70,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,male,24,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",73,15781508
71,Zion & Lennox,21451j1KhjAiaYKflxBjr1,mixed,17,"['reggaeton', 'urbano latino']",74,7705367
72,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,female,27,"['pop', 'post-teen pop']",76,26513961
73,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,male,0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",79,3376634
74,Anita,56OnRKCroIqOuaxbEnstY5,female,27,['persian pop'],27,29632
75,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,female,34,"['art pop', 'dance pop', 'pop']",82,28787306
76,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,male,27,"['pop', 'uk pop']",74,22977021
77,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,male,21,"['melodic rap', 'rap', 'trap']",75,10110947
78,Lil Wayne,55Aa2cqylxrFIXC767Z865,male,37,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84,14364704
79,Darell,1TtXnWcUs0FCkaZDPGYHdf,male,0,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",76,4171785
80,Marília Mendonça,1yR65psqiazQpeM79CcGh8,female,25,"['arrocha', 'sertanejo', 'sertanejo universitario']",78,33794183
81,Lauv,5JZ7CnR6gTvEMKX4g70Amv,male,25,['pop'],74,6098653
82,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,male,30,"['pop', 'pop dance', 'tropical house', 'uk dance']",72,3849840
83,Tyga,5LHRHt1k9lMyONurDHEdrp,male,30,"['hip hop', 'pop rap', 'rap', 'trap']",77,6958506
84,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,female,33,"['indietronica', 'metropopolis', 'pop', 'uk pop']",77,12447885
85,Queen,1dfeR4HaWDbWqFHLkxsg1d,mixed,50,"['classic rock', 'glam rock', 'rock']",82,49174063
86,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,male,23,"['pop', 'uk pop']",78,12030538
87,Dalex,0KPX4Ucy9dk82uj4GpKesn,male,29,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']",72,4911908
88,MØ,0bdfiayQAKewqEvaU6rXCv,female,31,"['dance pop', 'danish pop', 'electropop', 'pop dance']",68,1458475
89,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,female,24,"['canadian contemporary r&b', 'canadian pop', 'pop']",72,11936770
90,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,mixed,11,"['modern rock', 'pop', 'pov: indie', 'rock']",78,24217691
91,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,male,31,"['r&b', 'rap']",86,21064273
92,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,male,23,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",79,10027675
93,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,male,24,['emo rap'],67,6974823
94,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,male,40,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,5202813
95,Becky G,4obzFoKoKRHIphyHzJ35G3,female,23,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",77,14374317
96,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,male,22,['electro house'],79,39951033
97,NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,female,33,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",70,9798674
98,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,male,0,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']",74,22907149
99,G-Eazy,02kJSzxNuaWGqwubyUba0Z,male,31,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",73,5234548
100,Katy Perry,6jJ0s89eD6GaHleKKya26X,female,35,['pop'],82,30972097
101,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,male,33,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",75,3110808
102,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,male,21,['lgbtq+ hip hop'],74,12492374
103,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,male,27,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",71,5970418
104,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,male,25,['german hip hop'],66,4395023
105,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,male,30,"['reggaeton', 'trap latino', 'urbano latino']",75,4362463
106,Logic,4xRYI6VqpkE3UwrDrAZL8L,male,30,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",73,5993652
107,Harry Styles,6KImCVD70vtIoJWnq6nGn3,male,26,['pop'],83,30523224
108,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,mixed,0,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",74,9315006
109,Tones And I,2NjfBq1NflQcKSeiDooVjY,female,0,['australian pop'],67,3018481
