,names,Run Time,imdb_score,val,Writer,film
66,Mission: Impossible - Ghost Protocol,"$145,000,000 (estimated)",7.4,484K,Bruce Geller,Imperium ojca Rydzyka
67,Star Wars: Episode IX - The Rise of Skywalker,"$275,000,000 (estimated)",6.5,435K,Chris Terrio,Northern Skies Over Empty Space
68,Venom: Let There Be Carnage,"$110,000,000 (estimated)",5.9,207K,Kelly Marcel,Screen Test: Freddy Herko
69,Heat,"$60,000,000 (estimated)",8.3,638K,Michael Mann,Pikuli
70,Nobody,"$16,000,000 (estimated)",7.4,230K,Derek Kolstad,Bob Hope: Hollywood's Brightest Star
71,Avatar,"$237,000,000 (estimated)",7.8,1.2M,James Cameron,Brij Mohan Amar Rahe!
72,The Suicide Squad,"$185,000,000 (estimated)",7.2,333K,James Gunn,Party Bus
73,Avengers: Infinity War,"$321,000,000 (estimated)",8.4,1M,Joe Russo,Horny Hairy Girls 42
74,Thor: Ragnarok,"$180,000,000 (estimated)",7.9,707K,Eric Pearson,Castratus the Boar
75,Spree,1 hour 33 minutes,5.9,10K,Eugene Kotlyarenko,The Secret of Rented Island
76,Guardians of the Galaxy,"$170,000,000 (estimated)",8,1.1M,James Gunn,The Old Captain
77,The Last Duel,"$100,000,000 (estimated)",7.4,144K,Nicole Holofcener,El hombre detrás de la noticia
78,Mission: Impossible II,"$125,000,000 (estimated)",6.1,337K,Bruce Geller,The Sex Thief
79,Wrath of Man,"$40,000,000 (estimated)",7.1,165K,Nicolas Boukhrief,Cidade
80,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 (estimated)",6.5,303K,Espen Sandberg,Woody Guthrie: Ain't Got No Home
81,Star Wars: Episode II - Attack of the Clones,"$115,000,000 (estimated)",6.6,695K,George Lucas,The First Piano Quartette
82,Sonic the Hedgehog,"$85,000,000 (estimated)",6.5,133K,Pat Casey,Koło fortuny
83,The Lord of the Rings: The Fellowship of the Ring,"$93,000,000 (estimated)",8.8,1.8M,J.R.R. Tolkien,Nippu Ravva
84,Aquaman and the Lost Kingdom,not-released,no-rating,0,David Leslie Johnson-McGoldrick,"Nachas vemos, vecinas no sabemos"
85,Star Wars: Episode VI - Return of the Jedi,"$32,500,000 (estimated)",8.3,1M,Lawrence Kasdan,Toro Axe Part 3: All Things Change
86,The Amazing Spider-Man,"$230,000,000 (estimated)",6.9,643K,James Vanderbilt,Kinder der Nacht
87,Spectre,"$245,000,000 (estimated)",6.8,434K,John Logan,Ciuchcia
88,The Hunger Games: The Ballad of Songbirds and Snakes,not-released,no-rating,0,Michael Arndt,Shining Time Station: Once Upon a Time
89,Watchmen,"$130,000,000 (estimated)",7.6,544K,Dave Gibbons,Armero
90,Tenet,"$205,000,000 (estimated)",7.3,473K,Christopher Nolan,The Tragedy in the Devil-Mask Village
91,Shang-Chi and the Legend of the Ten Rings,"$200,000,000 (estimated)",7.4,358K,Dave Callaham,Kissproof
92,Ghostbusters,"$30,000,000 (estimated)",7.8,407K,Dan Aykroyd,The Choice
93,The Hunger Games,"$78,000,000 (estimated)",7.2,902K,Gary Ross,!!! !it happens to us ALL!!! !
94,The Mortal Instruments: City of Bones,2 hours 10 minutes,5.8,133K,Jessica Postigo,Bidding Adieu: A Video Diary
95,Black Widow,"$200,000,000 (estimated)",6.7,356K,Eric Pearson,A Teacher of Great Soldiers
96,Willow,"$35,000,000 (estimated)",7.2,113K,George Lucas,Soubhagyabati
97,Independence Day,"$75,000,000 (estimated)",7,566K,Dean Devlin,M25
98,Mission: Impossible - Rogue Nation,"$150,000,000 (estimated)",7.4,367K,Bruce Geller,The Interrogation
