,names,Run Time,imdb_score,val,Writer,film
2298,The Hurricane Heist,1 hour 43 minutes,5.1,21K,Scott Windhauser,Moo 1
2299,American Metal,not-released,no-rating,0,Rob Healy,The Tigers of Old: A Video Scrapbook of the Glenelg Football Club
2300,Invasion U.S.A.,1 hour 47 minutes,5.4,9.9K,James Bruner,Laid by the Maid
2301,Kabir Singh,2 hours 53 minutes,7,32K,Wajid Shaikh,Loss of Life
2302,Solarbabies,1 hour 34 minutes,4.7,4.6K,Walon Green,Загадки звёздного неба: Вечное движение
2303,From Prada to Nada,1 hour 47 minutes,5.5,15K,Fina Torres,王子妃 エッチさん
2304,Sorceress,not-released,4.4,2.3K,Jim Wynorski,Storm Over Georgia
2305,Mortal Kombat Legends: Scorpion's Revenge,not-released,7.4,17K,Jeremy Adams,Castle of Blood
2306,Spacehunter: Adventures in the Forbidden Zone,1 hour 30 minutes,5.4,5.9K,Stewart Harding,Priehrštie vzdychov
2307,Rage,"$15,000,000 (estimated)",5,24K,Jim Agnew,Sandy Sugar
2308,Rage,1 hour 24 minutes,4.1,553,Adam Davidson,WE
2309,Rage,not-released,5.6,722,Joseph John Barmettler,Where the Sun Doesn't Rush
2310,Rage,2 hours 22 minutes,7,2.9K,Shûichi Yoshida,Fantasmagoria #3
2311,One Way,not-released,no-rating,0,Ben Conway,CIVIL WAR: Blood & Honor-Collector's
2312,Wind,2 hours 6 minutes,6.4,2.8K,Jeff Benjamin,Al unísono
2313,The Most Dangerous Game,"$218,869 (estimated)",7.1,12K,Ernest B. Schoedsack,Trouble
2314,Race with the Devil,1 hour 28 minutes,6.6,6.6K,Lee Frost,Cabin
2315,BloodRayne: The Third Reich,"$10,000,000 (estimated)",3,6.5K,Michael Nachoff,She-Devil
2316,Seeking Justice,1 hour 45 minutes,6.1,46K,Todd Hickey,National Geographic's Beauty and the Beasts: A Leopard's Story
2317,Stagecoach,1 hour 55 minutes,6.1,1.9K,Joseph Landon,Double Edge
2318,The Domestics,1 hour 35 minutes,5.7,9.9K,Mike P. Nelson,Start Stop Die Run
2319,Sherlock Jr.,45 minutes,8.2,49K,Jean C. Havez,Cargas prohibidas
2320,Redemption Day,1 hour 39 minutes,4.5,24K,Hicham Hajji,A Daydream
2321,The Art of War,"$60,000,000 (estimated)",5.7,30K,Wayne Beach,10 Seconds of Carla
2322,Born a Champion,1 hour 52 minutes,6.8,3.8K,Sean Patrick Flanery,Ruben Leaves
2323,Avatar 5,not-released,no-rating,0,James Cameron,A Lake
2324,9/11,1 hour 30 minutes,4.3,3.9K,Martin Guigui,Roulette
2325,Memorial Day,1 hour 44 minutes,6.1,2.6K,Jeff Traxler,Fimbulvetr
2326,The Prince,1 hour 33 minutes,4.6,18K,Andre Fabrizio,Dive In
2327,The Prince,1 hour 36 minutes,6.4,1.4K,Luis Barrales,Yo fui una usurpadora
2328,Dirty Mary Crazy Larry,"$2,000,000 (estimated)",6.6,6.9K,Leigh Chapman,Waterlogged
2329,Suzume no tojimari,not-released,no-rating,0,Makoto Shinkai,Invitación a Bailar
2330,Ladder 49,1 hour 55 minutes,6.5,58K,Lewis Colick,Devil Hunter Yohko 6: Double Jeopardy
2331,Yellowbeard,1 hour 36 minutes,5.9,8K,Graham Chapman,Dead Roots
2332,New York Ninja,not-released,5.5,869,Kurtis Spieler,Meet The Family
2333,Tarzan the Ape Man,"$652,675 (estimated)",7,7.5K,Edgar Rice Burroughs,João Lucas e Marcelo - A Vida É Uma Festa
2334,Kickboxer: Vengeance,1 hour 30 minutes,4.8,11K,Dimitri Logothetis,Eddie Reynolds y los Ángeles de Acero
2335,The Code,1 hour 44 minutes,5.9,35K,Ted Humphrey,The Unhelpful Brother
2336,The Code,not-released,no-rating,0,See writer,Kitchen Talk
2337,Never Too Young to Die,"$3,000,000 (estimated)",4.8,1.8K,Steven Paul,Tides
2338,Uptown Saturday Night,1 hour 44 minutes,6.6,2.4K,Richard Wesley,Durs Grünbein liest die dritte Satire des Juvenal
2339,Patient Zero,not-released,4.5,8.9K,Mike Nguyen Le,The Reparte
2340,No Man's Land,1 hour 54 minutes,5.2,1.1K,Jake Allyn,Norymberga
2341,No Man's Land,1 hour 58 minutes,7.3,2.4K,Hao Ning,Charmer Une Fille
2342,Seobok,1 hour 54 minutes,6.1,3K,Lee Yong-ju,The penultimate
2343,Steven Universe: The Movie,1 hour 22 minutes,7.7,7K,Joseph D. Johnston,Oncle Paul
2344,The Hunter's Prayer,"$28,000,000 (estimated)",5.5,9.5K,John Brancato,De vergeten medeminnaar
2345,High Sierra,"$455,000 (estimated)",7.5,17K,John Huston,Felix the Globe Trotter
2346,An Innocent Man,"$20,047,604",6.4,6.9K,Larry Brothers,Baby's Got Rack
2347,King of Killers,not-released,no-rating,0,Kevin Grevioux,Whispers of Angels: A Story of the Underground Railroad
2348,Bullet,1 hour 36 minutes,6.4,8.4K,Mickey Rourke,Disneyland Resort: Imagineering The Magic
2349,Jurassic Shark,not-released,1.4,4.4K,Brett Kelly,Tracks
2350,Crown Vic,1 hour 50 minutes,6.4,7.2K,Joel Souza,Stranger Than Paradise
2351,See You Yesterday,not-released,5.2,11K,Fredrica Bailey,Aaliyah: Live in Amsterdam
2352,Bite the Bullet,2 hours 12 minutes,6.6,5.4K,Richard Brooks,Mizející svět
2353,Batman: Gotham by Gaslight,1 hour 18 minutes,6.7,17K,James Krieg,Manuel Campo Vidal: pasión por la Comunicación.
2354,Celda 211,1 hour 53 minutes,7.6,67K,Jorge Guerricaechevarría,Amazing Woman
2355,The Young Lions,"$3,550,000 (estimated)",7.1,8.1K,Edward Anhalt,The Girl with the Moon Skin
2356,The Ambushers,1 hour 42 minutes,5.3,2K,Donald Hamilton,Follow Me Home
2357,China Salesman,1 hour 50 minutes,2.8,1.6K,Tan Bing,"Finn'sk Fjernsyn, De allerbedste"
2358,Trespass,1 hour 41 minutes,6.3,13K,Bob Gale,Simulations
2359,The Undefeated,"$7,115,000 (estimated)",6.6,6.8K,James Lee Barrett,We Will Forget
2360,Valimai,2 hours 58 minutes,6.1,18K,H. Vinoth,Kinophotoplenka
2361,The Pope of Greenwich Village,2 hours 1 minute,6.6,8.9K,Vincent Patrick,Promise
2362,Daphne & Velma,not-released,4.1,2K,Kyle Mack,"Kono Otoko-tachi, Kyoubou Ni Te"
2363,Murder at 1600,1 hour 47 minutes,6.1,31K,Wayne Beach,Mysteries of July
2364,Retribution,not-released,no-rating,0,Andrew Baldwin,Raw Sex
2365,Retribution,1 hour 42 minutes,6.6,10K,Alberto Marini,Imperial Tran-Zam
2366,Hatchet II,"$800,000 (estimated)",5.4,14K,Adam Green,"Chomón : màgies, pòcimes i fades"
2367,Silent Rage,"$4,500,000 (estimated)",5.4,5.8K,Joseph Fraley,Costa Rica: Wildlife Under The Rainbow
2368,North Shore,1 hour 36 minutes,6.5,2.7K,William Phelps,Celia Cruz: ¡Azúcar!
2369,Tarzan and His Mate,1 hour 44 minutes,7.3,5.1K,James C. McKay,Här är polisen
2370,The Boondock Saints III,not-released,no-rating,0,Troy Duffy,Moments Pass
2371,Naruto,not-released,no-rating,0,Jon Hoeber,Three Things I've Learned
2372,The Unhealer,1 hour 34 minutes,4.7,870,Kevin E. Moore,Alma
2373,The Hard Way,"$3,500,000 (estimated)",4.8,3.3K,Thomas J. Churchill,Oil's Well
2374,Greenland: Migration,not-released,no-rating,0,Chris Sparling,Vi leker
2375,Wasabi,1 hour 34 minutes,6.6,40K,Luc Besson,Bank Alarm
2376,Offender,1 hour 42 minutes,6.1,4.7K,Paul Van Carter,The Guardian
2377,One Night in Bangkok,1 hour 45 minutes,5.1,2.1K,Wych Kaosayananda,Rooftop Lesbians: Going Up to Go Down
2378,The Hatton Garden Job,not-released,5.6,6.3K,Dean Lines,"The World, the Flesh and the Devil"
2379,Pusher II,"$1,605",7.3,22K,Nicolas Winding Refn,Death Row
2380,Mondocane,not-released,6.3,398,Alessandro Celli,The Trumpet Blows
2381,The Mark of Zorro,"$1,000,000 (estimated)",7.5,10K,John Taintor Foote,Following Her Heart
2382,Black Dog,1 hour 29 minutes,5.4,9.3K,William Mickelberry,To Stride with Pride: A Human Rights Movement in Thailand
2383,MR-9,not-released,no-rating,0,Qazi Anwar Husain,Justice on Trial: The Movie 20/20
2384,Interception,1 hour 47 minutes,2.7,271,Turner Clay,My Wife Found Out I'm Bi!
2385,Crow,not-released,no-rating,0,Melinda Bryce,Ben Folds: The Making Of Songs For Silverman
2386,6 Bullets,1 hour 55 minutes,6,15K,Chad Law,Super Me
2387,Night Watch,"$4,200,000 (estimated)",6.4,54K,Timur Bekmambetov,Queen of Carthage
2388,Night Watch,1 hour 39 minutes,6.3,1.7K,Lucille Fletcher,Cannes: All Access
2389,Ninja: Shadow of a Tear,"$2,600,000 (estimated)",6.1,12K,David N. White,Larga distancia
2390,Wings,"$2,000,000 (estimated)",7.6,13K,Harry d'Abbadie d'Arrast,The Orange Tree
2391,Cyborg Cop,not-released,4.1,1.2K,Greg Latter,De la Quadra-Salcedo: El reportero que quisimos ser
2392,Naya Legend of the Golden Dolphin,not-released,no-rating,0,Katie Ford,Heartbreak Hotel
2393,Caged Fury,not-released,3.9,981,Bill Milling,The Man from Hell's River
2394,Backtrace,1 hour 32 minutes,3.8,4.2K,Mike Maples,Grass or When the Rain Falls on the Water Does The Fish Get Any Wetter?
2395,Hatchet III,"$1,169,935 (estimated)",5.6,9.4K,Adam Green,In Memory of Me
2396,The Dogs of War,"$5,484,132",6.3,8.5K,Gary DeVore,Greve Svensson
2397,Kingsglaive: Final Fantasy XV,1 hour 50 minutes,6.7,22K,Takashi Hasegawa,Kein Problem
2398,The Return of Swamp Thing,1 hour 28 minutes,4.6,5.5K,Neil Cuthbert,Good Game
2399,Kandahar,not-released,no-rating,0,Mitchell LaFortune,Metallica: The Reinvention of Heavy Metal
2400,Haider,2 hours 40 minutes,8.1,55K,William Shakespeare,The Beautiful Bald Pussy 3
2401,The Sentinel,"$60,000,000 (estimated)",6.1,50K,George Nolfi,Exhumados
2402,Rogue Hostage,1 hour 33 minutes,3.2,2.1K,Mickey Solis,Badhu Nuhen Mu Bandhu
2403,Resident Evil: Vendetta,"$256,320",6.2,13K,Makoto Fukami,Mensch
2404,Red Right Hand,not-released,no-rating,0,Ian Nelms,BanG Dream! 3rd☆LIVE Sparklin'PARTY 2017!
2405,Seized,"$46,191",5.3,2.3K,Richard Lowry,"Pierre Klossowski, un écrivain en images"
2406,Biker Boyz,1 hour 50 minutes,4.6,13K,Michael Gougis,Slave Mother
2407,Blast,1 hour 45 minutes,4.3,1.6K,Albert Pyun,UFC Fight Night 21: Florian vs. Gomi
2408,Blast,1 hour 30 minutes,5,150,Vanya Peirani-Vignes,Chilly Gonzales-The Unspeakable Chilly Gonzales Live With Orchestra
2409,Tracers,1 hour 34 minutes,5.6,19K,Matt Johnson,The Next Step
2410,Shootfighter: Fight to the Death,1 hour 36 minutes,5.4,1.3K,Judd Lynn,THE WORLD IS YOURS
2411,Welcome to the Punch,1 hour 39 minutes,6.1,33K,Eran Creevy,Bikini Beach Race
2412,Sentinelle,1 hour 20 minutes,4.7,7.8K,Julien Leclercq,The Quandary
2413,River of No Return,1 hour 31 minutes,6.6,12K,Jean Negulesco,The Girl Raised as a Future Daughter-in-law
2414,Heaven & Earth,"$33,000,000 (estimated)",6.8,14K,Le Ly Hayslip,The Fast Show: More Blooming Catchphrases
2415,Stray,1 hour 29 minutes,4.8,835,J.D. Dillard,Față în față
2416,Stray,not-released,4.7,410,Olga Gorodetskaya,Deep Throat This 14
2417,The Wind and the Lion,1 hour 59 minutes,6.8,9.3K,John Milius,Just The 3 Of Us
2418,Blackout,not-released,no-rating,0,Van B. Nguyen,TS Love Fest
2419,The Order,not-released,no-rating,0,Karan Ashley,"The Vagabond Master, Part 3"
2420,Land of Doom,not-released,3.5,654,Peter Kotis,Bird in the Air
2421,Headshot,1 hour 58 minutes,6.3,15K,Timo Tjahjanto,Candy Apple
2422,Beast of Burden,1 hour 29 minutes,3.6,2.9K,Adam Hoelzel,The Return of Daniel Boone
2423,Pirates,2 hours 1 minute,6,8.6K,John Brownjohn,Weak-kneed from Fear of Ghost-Cat
2424,Fighting,"$23,091,010",5.5,33K,Robert Munic,Твою мать!
2425,Yakuza,not-released,no-rating,0,Pat Casey,Les fleurs c'est pour Rosemont
2426,2,2 hours 28 minutes,6.1,24K,Jayamohan,54th IFFI  AWARD
2427,Godfather,not-released,no-rating,0,Lakshmi Bhupala,Floppy D
2428,Desert Warrior,not-released,no-rating,0,Erica Beeney,The Cowboy's Sweetheart
2429,Into the Ashes,1 hour 38 minutes,5.2,4.8K,Aaron Harvey,Dr. Seuss - Hop On Pop: Beginner Book Video
2430,Firewall,"$50,000,000 (estimated)",5.8,58K,Joe Forte,Le Champagne a rendez-vous avec la lune
2431,10.0 Earthquake,not-released,3.4,2.3K,J. Greg Abbott,Daddy's Little Girl 8
2432,Riot,1 hour 27 minutes,5.1,3.4K,John Lyde,Hillbilly Frankenstein from Hell
2433,The Born Losers,"$360,000 (estimated)",5.9,2.5K,Elizabeth James,Between The Eyes 2
2434,Coffee & Kareem,not-released,5.1,14K,Shane Mack,1980 Meria
2435,Sharky's Machine,2 hours 2 minutes,6.3,6.1K,William Diehl,RADIOHEAD: A Job That Slowly Kills You
2436,Allan Quatermain and the Lost City of Gold,1 hour 39 minutes,4.5,9.5K,H. Rider Haggard,Rata callejera
2437,The Concorde... Airport '79,1 hour 53 minutes,4.4,6.3K,Arthur Hailey,ZANYAR: A Recycling Mafia
2438,The Electric State,not-released,no-rating,0,See writer,The Devil and Kate
2439,Ratchet & Clank,1 hour 34 minutes,5.5,11K,Jericca Cleland,Part of Me
2440,King Kong Lives,"$10,000,000 (estimated)",3.9,6.1K,Ronald Shusett,Hạ Cuối Tình Đầu
2441,Voyage to the Bottom of the Sea,"$1,580,000 (estimated)",6,6.1K,Irwin Allen,The Rest of Our Lives
2442,Force of Execution,1 hour 39 minutes,4.3,3.3K,Richard Beattie,Oltre la vita delle forme
2443,Tromeo and Juliet,"$350,000 (estimated)",6,6.4K,James Gunn,SuperCopines
2444,JCVD,1 hour 37 minutes,7.1,39K,Mabrouk El Mechri,Sensation of the Century
2445,Bilal: A New Breed of Hero,1 hour 45 minutes,7.7,22K,Ayman Jamal,Filmtagebuch 1975-85
2446,Beat the Devil,1 hour 29 minutes,6.4,9.2K,Claud Cockburn,Mai dire 94 - Un anno di sport
2447,Ninja III: The Domination,1 hour 32 minutes,5.3,4.7K,James R. Silke,Thorns
2448,Desperate Measures,1 hour 40 minutes,6.1,17K,David Klass,Les tisserands du pouvoir
2449,Reap the Wild Wind,2 hours 3 minutes,6.7,3.3K,Alan Le May,The Innocent Sleep
2450,Cannonball,1 hour 33 minutes,5.5,4.7K,Paul Bartel,Кресты
2451,Black Moon Rising,1 hour 40 minutes,5.5,5.9K,John Carpenter,"Tick, Trick und Tracks größte Hits"
2452,Metro,1 hour 57 minutes,5.5,28K,Randy Feldman,Turta
2453,Tadap,2 hours 6 minutes,5.2,4.3K,Rajat Arora,Trek IT!
2454,Arthur & Merlin: Knights of Camelot,1 hour 30 minutes,3.3,6K,Giles Alderson,Seoul Station
2455,Breaking In,1 hour 28 minutes,5.4,16K,Ryan Engle,George Benson & Al Jarreau: Live at Montreux
2456,Maanaadu,2 hours 27 minutes,8.4,21K,Venkat Prabhu,The wealth of our forests
2457,Turbo: A Power Rangers Movie,1 hour 39 minutes,3.5,8.9K,David Winning,Nuoruustango
2458,Terra Formars,1 hour 48 minutes,4.7,2.9K,Kazuki Nakashima,Looking at Clouds
2459,Reign of Chaos,not-released,2.7,368,Tom Jolliffe,Tell
2460,Killers Anonymous,1 hour 35 minutes,4.4,12K,Seth Johnson,Who are you?
2461,Traitor,"$22,000,000 (estimated)",6.9,58K,Jeffrey Nachmanoff,Sequences
2462,Eliminators,1 hour 34 minutes,5.5,4.4K,Nathan Brookes,Sylvia Plath: Voices and Visions
2463,BRZRKR,not-released,no-rating,0,Keanu Reeves,Newton's Third Law
2464,Perdita Durango,"€4,200,000 (estimated)",6.3,9K,Barry Gifford,NASA: Water On Mars
2465,Office Uprising,1 hour 32 minutes,5.8,13K,Ian Shorr,KINTSUGI
2466,Texas Rangers,1 hour 30 minutes,5.2,6K,George Durham,Platform
2467,Karnan,2 hours 38 minutes,8.1,21K,Mari Selvaraj,穿越时空之来客
2468,Far Cry,1 hour 35 minutes,3.2,14K,Michael Roesch,Zenaida
2469,Kung Fu Zohra,not-released,4.7,124,Mabrouk El Mechri,Passionate
2470,The Killer Elite,2 hours 2 minutes,6,6.4K,Marc Norman,Viaggio al centro della Terra
2471,The Crow: Wicked Prayer,not-released,3,9K,Norman Partridge,Domine Moi!
2472,Knockin' on Heaven's Door,1 hour 27 minutes,7.9,30K,Thomas Jahn,Senioritis
2473,Birth of the Dragon,1 hour 35 minutes,5.6,8.2K,Stephen J. Rivele,SHIMMER Volume 27
2474,Crying Freeman,1 hour 42 minutes,6.4,13K,Kazuo Koike,Jogi
2475,Retroactive,not-released,6.2,6.2K,Michael Hamilton-Wright,L'Elisir D'amore - Sferisterio
2476,Chained Heat,"$1,250,000 (estimated)",5,2.4K,Aaron Butler,War As It Really Is
2477,The Last Mimzy,"$21,471,047",6.2,22K,Bruce Joel Rubin,The Challenge
2478,Rage at Dawn,not-released,5.9,1.2K,Horace McCoy,Le friquet
2479,Battleground,1 hour 58 minutes,7.4,7.3K,Robert Pirosh,Getting Along With Parents
2480,Battleground,1 hour 25 minutes,4.2,1.3K,Neil Mackay,Jane
2481,Night of the Juggler,not-released,6.5,881,Sidney J. Furie,Earthlings
2482,Extraterrestrial,1 hour 41 minutes,5,16K,Colin Minihan,必殺仕事人2016
2483,Extraterrestrial,1 hour 35 minutes,5.8,4K,Nacho Vigalondo,"Only You, My Heart"
2484,The Legend of Conan,not-released,no-rating,0,Andrea Berloff,Sinner City
2485,Lockdown,1 hour 58 minutes,2.5,149,Massimiliano Cerchi,Mach 2
2486,Delhi Belly,1 hour 43 minutes,7.5,30K,Akshat Verma,Cult of Freedom
2487,Alien Warfare,not-released,2.6,3.5K,Dave Baker,Formato ridotto - Libere riscritture del cinema amatoriale
2488,Maniac Cop 2,"$4,000,000 (estimated)",5.9,7.4K,Larry Cohen,Boys in the Island
2489,Salute,not-released,7,4.1K,Bobby,Gypsy Aza
2490,Fat Pizza,1 hour 36 minutes,5.6,3.6K,Paul Fenech,Pablo's Winter
2491,The Fable: The Killer Who Doesn't Kill,2 hours 13 minutes,6.8,1.5K,Kan Eguchi,Bubblegum Babes 5
2492,Innocent Blood,"$20,000,000 (estimated)",6.2,10K,Michael Wolk,Cedarmont Kids - Gospel Bible Songs
2493,15 Minutes,"$60,000,000 (estimated)",6.1,50K,John Herzfeld,Un Papa Premuroso
2494,So Undercover,1 hour 34 minutes,4.9,20K,Allan Loeb,Bellator 203: Pitbull vs. Weichel 2
2495,Arabesque,1 hour 45 minutes,6.5,7.1K,Julian Mitchell,Almond Blossoms
2496,Knightriders,2 hours 26 minutes,6.3,4.9K,George A. Romero,Benny More: Hoy Como Ayer
2497,Jackpot,not-released,no-rating,0,See writer,Battle at Bloody Beach
2498,Jackpot,1 hour 26 minutes,6.6,3.2K,Magnus Martens,Hacia atrás
2499,The Exterminator,"$2,000,000 (estimated)",5.7,5.6K,James Glickenhaus,"Angelina, o El honor de un brigadier"
2500,Sweet Sweetback's Baadasssss Song,1 hour 37 minutes,5.5,5.3K,Melvin Van Peebles,Noob Saison 4 - Le Niveau Cent
2501,Stratton,1 hour 35 minutes,4.8,5.2K,Duncan Falconer,Wonder World
2502,Shatter,not-released,5.1,503,Monte Hellman,Sex Girl 6
2503,Kinjite: Forbidden Subjects,1 hour 37 minutes,5.4,3.3K,Harold Nebenzal,We Wanna Gangbang Your Mom 25
2504,The Stolen,1 hour 38 minutes,5.2,1.4K,Emily Corcoran,Winx Club - Magic Adventure
2505,Ferry,not-released,7,11K,Nico Moolenaar,Fresh out the Box 5
2506,A Hard Day,1 hour 51 minutes,7.2,14K,Lee Hae-jun,The Vagabonds
2507,A Hard Day,not-released,6.6,55,Kim Seong-hun,Widow's Walk
2508,Escape to Athena,not-released,5.6,5.1K,Edward Anhalt,The Independents
2509,Sand Sharks,1 hour 31 minutes,2.6,5.1K,Joe Benkis,A Dream
2510,Primary Position,not-released,no-rating,0,Robert Amparan,Ateng Mata Keranjang
2511,Always,"$6,941,450",7.7,9.8K,Il-gon Song,A.W.O.L.
2512,Always,2 hours 2 minutes,6.4,30K,Jerry Belson,Pretty Evil
2513,Theodore Rex,1 hour 32 minutes,2.3,4.6K,Jonathan R. Betuel,Manchester United: The Official History 1878-2008
2514,Sadak 2,2 hours 13 minutes,1.1,95K,Pushpdeep Bhardwaj,Artists & Models
2515,Pawankhind,2 hours 33 minutes,8.6,7K,Digpal Lanjekar,Blooded
2516,Viking,2 hours 22 minutes,4.6,4.7K,Andrey Kravchuk,The Mechanics of Happiness
2517,Infidel,"$4,051,990",5.7,3.3K,Cyrus Nowrasteh,By Any Means Necessary
2518,The Principal,1 hour 49 minutes,6.3,10K,Frank Deese,Katharina Knie - Ein Seiltänzerstück
2519,Hanover Street,1 hour 49 minutes,6,5.3K,Peter Hyams,Bankrolled
2520,Wer,1 hour 33 minutes,5.9,8.8K,William Brent Bell,Fastest Delorean Part II
2521,Semper Fi,1 hour 39 minutes,6.1,3.5K,Sean Mullin,Kvazimoda. 162
2522,The Mod Squad,1 hour 32 minutes,4.3,9.1K,Buddy Ruskin,Une belle carrosserie
2523,The Internecine Project,1 hour 29 minutes,6.2,874,Barry Levinson,Chhota Bheem Neeli Pahaadi
2524,Recoil,not-released,5.1,5.5K,John Sullivan,Von Trapped
2525,Udta Punjab,2 hours 28 minutes,7.7,30K,Sudip Sharma,Oasis: Live By The Sea
2526,Vampires: Los Muertos,"$429,189",4.5,7.5K,Tommy Lee Wallace,Spend some time with amateur Almond Rucka
2527,One Piece Film: Gold,2 hours 4 minutes,7.1,5.1K,Eiichiro Oda,Jack's Big Ass Show 8
2528,Borderland,not-released,no-rating,0,Thomas Guard,Housemate Hookups
2529,Hammer of the Gods,1 hour 39 minutes,4.5,8.1K,Matthew Read,Dredd 3
2530,Maximum Ride,1 hour 28 minutes,3.6,4.5K,James Patterson,"Hocus Pocus, Alfie Atkins!"
2531,Hard to Die,not-released,4.8,1.3K,Mark Thomas McGee,Safar
2532,Sholay,not-released,8.1,55K,Javed Akhtar,Obligation
2533,Apache Junction,not-released,3.8,391,Justin Lee,The Hunger
2534,The Tournament,"$9,000,000 (estimated)",6,35K,Gary Young,Song of the Drifter
2535,Restart the Earth,not-released,5.1,124,Mickey He,The Surrogate Womb
2536,A Low Down Dirty Shame,1 hour 48 minutes,5.9,7.3K,Keenen Ivory Wayans,Love in Hollywood
2537,Kopps,1 hour 30 minutes,6.7,21K,Josef Fares,Kowsar
2538,Echo Boomers,1 hour 34 minutes,5.7,8.4K,Kevin Bernhardt,Videodrome: Forging the New Flesh
2539,Mersal,2 hours 52 minutes,7.5,34K,Atlee Kumar,A Storybook Ending
2540,Singularity,1 hour 32 minutes,3.6,14K,Robert Kouba,Le Nouveau
2541,Lolly-Madonna XXX,not-released,6.5,638,Rodney Carr-Smith,Hard Rain
2542,The Sweeney,"£3,000,000 (estimated)",6.1,20K,Nick Love,"Developmentally Speaking With Matt Striker, Shelton Benjamin & Karlee Perez"
2543,24: Redemption,1 hour 24 minutes,7.4,28K,Joel Surnow,Beyond The Black - Wacken World Wide
2544,The Furies,1 hour 22 minutes,5.3,4.9K,Tony D'Aquino,Sog der Gezeiten
2545,Black,not-released,8.9,1.9K,Aadi,DBM Boulevard 1 - Streetwork With Sandra
2546,Captive,"$2,000,000 (estimated)",5.4,6.9K,Brian Bird,Miles From Tomorrowland: Let's Rocket
2547,Momentum,1 hour 36 minutes,5.5,16K,Adam Marcus,Payback's a Bitch 3
2548,Ninja,1 hour 26 minutes,5.5,13K,Boaz Davidson,Clean Cut
2549,Pandemic,1 hour 31 minutes,4.4,9.2K,Dustin T. Benson,Dudefall 2
2550,Nemesis,"$2,001,124",5.3,5.8K,Rebecca Charles,Abang Long Fadil
2551,Getaway,1 hour 30 minutes,4.4,24K,Sean Finegan,The Promise: Birth of the Messiah
2552,Dobermann,1 hour 43 minutes,6.5,18K,Joël Houssin,Lektionen der Lust
2553,Enemy Gold,not-released,4.1,871,Wess Shannon Rahn,3 MUSES
2554,Zorro: The Gay Blade,1 hour 33 minutes,6.2,4.5K,Hal Dresner,Daddy's Cumslut
2555,Delta Force 2: The Colombian Connection,"$6,698,361",4.8,7.5K,James Bruner,Swipe Right
2556,Showdown,1 hour 38 minutes,5.2,1.1K,Stuart Gibbs,Kurt and Ove's Car Repair
2557,Stone,"A$192,000 (estimated)",6.3,1.5K,Sandy Harbutt,Warlock: Live in London
2558,Home of the Brave,1 hour 46 minutes,5.6,11K,Mark Friedman,Cinco5
2559,Range 15,1 hour 29 minutes,4.2,4.9K,Billy Jay,George Ezra - Baloise Session
2560,Brannigan,1 hour 51 minutes,6.1,5.7K,Christopher Trumbo,Before Valentine
2561,Lupin III: The First,1 hour 33 minutes,6.9,2.9K,Monkey Punch,Ruthless Father
2562,Four Samosas,not-released,no-rating,0,Ravi Kapoor,#Beings
2563,Gang Related,1 hour 51 minutes,6.4,9K,Jim Kouf,Grand National Night
2564,Main Hoon Na,3 hours 2 minutes,7,35K,Farah Khan,Orgone Theory
2565,If Looks Could Kill,1 hour 28 minutes,5.8,7.1K,Fred Dekker,The Fourth March
2566,Killshot,"$18,643",6,21K,Hossein Amini,Playing in the name of
2567,Deuces Wild,1 hour 36 minutes,5.6,7.5K,Paul Kimatian,Shadow
2568,Taxi 2,1 hour 28 minutes,6.5,55K,Luc Besson,Topsey Turvey
2569,Super Fly,1 hour 31 minutes,6.4,7.6K,Phillip Fenty,Dragonkeeper
2570,Out of Time,not-released,5.5,1.3K,Matt Handy,Dependências
2571,Turkey Shoot,1 hour 20 minutes,5.9,3.7K,Jon George,Endzeit
2572,Armored,1 hour 28 minutes,5.7,31K,James V. Simpson,Monstro do Meu Quarto
2573,Villain,not-released,5.9,3.1K,Greg Hall,Le Chienlit: I giorni del Maggio
2574,Fan,"$15,670,000 (estimated)",6.9,45K,Maneesh Sharma,Planet of the Apes
2575,Field of Lost Shoes,1 hour 36 minutes,5.7,1.8K,Thomas Farrell,Marquet Place
2576,Captain Blood,"$1,200,000 (estimated)",7.7,14K,Rafael Sabatini,Ricky Glore: Dad Bod
2577,Delta Farce,1 hour 30 minutes,3.6,11K,Bear Aderhold,Funeral Circuit
2578,Hell Ride,"$213,608",5,16K,Larry Bishop,Oflu Hodja in Thrace
2579,Red Scorpion,"$16,000,000 (estimated)",5.1,9K,Robert Abramoff,Doppelgänger
2580,Up Periscope,1 hour 52 minutes,6.4,2K,Richard H. Landau,La Polla Records - Vamos Entrando
2581,Bad Ass,1 hour 30 minutes,5.4,19K,Craig Moss,Trasplantes Ilegales
2582,Vinaya Vidheya Rama,2 hours 26 minutes,3.2,3.3K,M. Rathnam,"Ready, Steady, Ommm!"
2583,To Hell and Back,1 hour 46 minutes,7.1,5.4K,Gil Doud,De chair et d'âme
2584,Mo' Money,"$10,000,000 (estimated)",5.5,7.7K,Damon Wayans,As Long as You're Young
2585,Donnybrook,1 hour 41 minutes,5.4,2.2K,Tim Sutton,The Scientific Study of Alien Implants - Part 1
2586,The Yakuza,1 hour 52 minutes,7.2,8.9K,Paul Schrader,7 Days in Paris
2587,The Breed,"$14,500",5.1,13K,Robert Conte,The Nine Lives of Vince McMahon
2588,Paper Soldiers,not-released,5.3,1.3K,Damon Dash,Fighting Men: Crack That Tank
